date(mm/dd/yyyy),time(h:m:s),temp(F),ec(uS/cm),stage(ft)
1/28/2021,00:00:00,44.80,227,1.32
1/28/2021,00:15:00,44.87,225,1.29
1/28/2021,00:30:00,44.95,230,1.26
1/28/2021,00:45:00,45.02,246,1.22
1/28/2021,01:00:00,45.08,266,1.20
1/28/2021,01:15:00,45.15,282,1.18
1/28/2021,01:30:00,45.22,286,1.16
1/28/2021,01:45:00,45.29,287,1.15
1/28/2021,02:00:00,45.35,290,1.14
1/28/2021,02:15:00,45.39,290,1.12
1/28/2021,02:30:00,45.42,295,1.10
1/28/2021,02:45:00,45.44,303,1.09
1/28/2021,03:00:00,45.47,313,1.08
1/28/2021,03:15:00,45.50,322,1.05
1/28/2021,03:30:00,45.53,331,1.01
1/28/2021,03:45:00,45.56,342,0.97
1/28/2021,04:00:00,45.59,353,0.94
1/28/2021,04:15:00,45.62,365,0.91
1/28/2021,04:30:00,45.65,378,0.89
1/28/2021,04:45:00,45.69,389,0.86
1/28/2021,05:00:00,45.72,396,0.85
1/28/2021,05:15:00,45.74,398,0.83
1/28/2021,05:30:00,45.76,401,0.81
1/28/2021,05:45:00,45.77,404,0.79
1/28/2021,06:00:00,45.79,401,0.77
1/28/2021,06:15:00,45.81,395,0.76
1/28/2021,06:30:00,45.83,389,0.74
1/28/2021,06:45:00,45.85,383,0.73
1/28/2021,07:00:00,45.86,379,0.72
1/28/2021,07:15:00,,,0.71
1/28/2021,07:30:00,,,0.70
1/28/2021,07:45:00,,,0.69
1/28/2021,08:00:00,,,0.68
1/28/2021,08:15:00,45.93,371,0.67
1/28/2021,08:30:00,45.95,371,0.67
1/28/2021,08:45:00,45.98,372,0.66
1/28/2021,09:00:00,46.00,374,0.66
1/28/2021,09:15:00,46.01,370,0.65
1/28/2021,09:30:00,46.03,364,0.65
1/28/2021,09:45:00,46.05,365,0.64
1/28/2021,10:00:00,46.07,368,0.64
1/28/2021,10:15:00,46.09,382,0.65
1/28/2021,10:30:00,46.12,399,0.67
1/28/2021,10:45:00,46.13,404,0.68
1/28/2021,11:00:00,46.14,409,0.67
1/28/2021,11:15:00,46.19,412,0.66
1/28/2021,11:30:00,46.25,415,0.65
1/28/2021,11:45:00,46.31,419,0.63
1/28/2021,12:00:00,46.37,422,0.62
1/28/2021,12:15:00,46.44,421,0.61
1/28/2021,12:30:00,46.51,418,0.61
1/28/2021,12:45:00,46.60,416,0.60
1/28/2021,13:00:00,46.69,414,0.60
1/28/2021,13:15:00,46.80,412,0.59
1/28/2021,13:30:00,46.92,411,0.59
1/28/2021,13:45:00,47.05,410,0.58
1/28/2021,14:00:00,47.20,408,0.57
1/28/2021,14:15:00,47.36,406,0.58
1/28/2021,14:30:00,47.93,397,0.61
1/28/2021,14:45:00,48.11,392,0.59
1/28/2021,15:00:00,48.16,394,0.58
1/28/2021,15:15:00,48.87,306,0.71
1/28/2021,15:30:00,49.11,142,0.97
1/28/2021,15:45:00,48.90,140,1.12
1/28/2021,16:00:00,48.87,153,1.33
1/28/2021,16:15:00,48.89,132,1.82
1/28/2021,16:30:00,48.91,156,2.33
1/28/2021,16:45:00,48.90,197,2.52
1/28/2021,17:00:00,48.86,183,2.64
1/28/2021,17:15:00,48.85,178,2.65
1/28/2021,17:30:00,48.81,183,2.92
1/28/2021,17:45:00,48.74,189,2.78
1/28/2021,18:00:00,48.67,195,2.56
1/28/2021,18:15:00,48.59,204,2.48
1/28/2021,18:30:00,48.49,211,2.39
1/28/2021,18:45:00,48.39,215,2.33
1/28/2021,19:00:00,48.29,217,2.28
1/28/2021,19:15:00,48.16,221,2.26
1/28/2021,19:30:00,48.04,226,2.12
1/28/2021,19:45:00,47.94,230,2.03
1/28/2021,20:00:00,47.84,232,2.07
1/28/2021,20:15:00,47.74,228,2.14
1/28/2021,20:30:00,47.63,220,2.35
1/28/2021,20:45:00,47.53,214,2.58
1/28/2021,21:00:00,47.45,216,2.97
1/28/2021,21:15:00,47.35,227,3.25
1/28/2021,21:30:00,47.24,239,3.31
1/28/2021,21:45:00,47.16,265,3.33
1/28/2021,22:00:00,47.10,273,3.32
1/28/2021,22:15:00,47.05,264,3.25
1/28/2021,22:30:00,47.01,258,3.21
1/28/2021,22:45:00,46.98,247,3.12
1/28/2021,23:00:00,46.97,235,2.91
1/28/2021,23:15:00,46.95,221,2.72
1/28/2021,23:30:00,46.94,214,2.54
1/28/2021,23:45:00,46.90,204,2.35
