date(mm/dd/yyyy),time(h:m:s),temp(F),ec(uS/cm),stage(ft)
1/29/2021,00:00:00,46.86,202,1.93
1/29/2021,00:15:00,46.85,200,1.64
1/29/2021,00:30:00,46.82,202,1.53
1/29/2021,00:45:00,46.78,202,1.45
1/29/2021,01:00:00,46.72,199,1.41
1/29/2021,01:15:00,46.66,203,1.36
1/29/2021,01:30:00,46.59,199,1.33
1/29/2021,01:45:00,46.56,187,1.30
1/29/2021,02:00:00,46.56,186,1.34
1/29/2021,02:15:00,46.49,190,1.42
1/29/2021,02:30:00,46.39,187,1.27
1/29/2021,02:45:00,46.35,189,1.28
1/29/2021,03:00:00,46.30,195,1.26
1/29/2021,03:15:00,46.22,197,1.28
1/29/2021,03:30:00,46.16,196,1.25
1/29/2021,03:45:00,46.16,205,1.24
1/29/2021,04:00:00,46.24,228,1.24
1/29/2021,04:15:00,46.30,248,1.20
1/29/2021,04:30:00,46.33,256,1.16
1/29/2021,04:45:00,46.32,258,1.13
1/29/2021,05:00:00,46.30,267,1.11
1/29/2021,05:15:00,46.28,274,1.09
1/29/2021,05:30:00,46.27,280,1.11
1/29/2021,05:45:00,46.24,287,1.10
1/29/2021,06:00:00,46.22,295,1.06
1/29/2021,06:15:00,46.22,298,1.13
1/29/2021,06:30:00,46.20,295,1.06
1/29/2021,06:45:00,46.18,290,1.10
1/29/2021,07:00:00,46.14,282,1.04
1/29/2021,07:15:00,46.10,275,1.10
1/29/2021,07:30:00,46.04,267,1.03
1/29/2021,07:45:00,45.98,261,1.04
1/29/2021,08:00:00,45.91,257,0.96
1/29/2021,08:15:00,45.86,256,0.98
1/29/2021,08:30:00,45.85,257,0.94
1/29/2021,08:45:00,45.87,261,0.90
1/29/2021,09:00:00,45.88,267,0.90
1/29/2021,09:15:00,45.89,271,0.88
1/29/2021,09:30:00,45.94,280,0.87
1/29/2021,09:45:00,46.00,290,0.86
1/29/2021,10:00:00,46.13,300,0.91
1/29/2021,10:15:00,46.32,308,0.72
1/29/2021,10:30:00,46.56,313,0.71
1/29/2021,10:45:00,46.91,314,0.70
1/29/2021,11:00:00,47.24,313,0.68
1/29/2021,11:15:00,47.61,308,0.67
1/29/2021,11:30:00,48.02,302,0.66
1/29/2021,11:45:00,48.63,296,0.66
1/29/2021,12:00:00,48.99,290,0.65
1/29/2021,12:15:00,49.46,285,0.64
1/29/2021,12:30:00,50.17,280,0.64
1/29/2021,12:45:00,50.98,274,0.63
1/29/2021,13:00:00,51.56,269,0.63
1/29/2021,13:15:00,50.75,265,0.63
1/29/2021,13:30:00,50.43,262,0.63
1/29/2021,13:45:00,50.47,259,0.62
1/29/2021,14:00:00,50.57,255,0.63
1/29/2021,14:15:00,50.86,254,0.62
1/29/2021,14:30:00,50.89,253,0.62
1/29/2021,14:45:00,51.06,252,0.63
1/29/2021,15:00:00,51.96,250,0.62
1/29/2021,15:15:00,51.84,250,0.63
1/29/2021,15:30:00,51.49,251,0.60
1/29/2021,15:45:00,51.58,252,0.61
1/29/2021,16:00:00,51.56,253,0.61
1/29/2021,16:15:00,51.64,252,0.60
1/29/2021,16:30:00,51.65,254,0.60
1/29/2021,16:45:00,51.48,256,0.61
1/29/2021,17:00:00,51.64,256,0.60
1/29/2021,17:15:00,51.73,258,0.60
1/29/2021,17:30:00,51.61,259,0.60
1/29/2021,17:45:00,51.53,261,0.60
1/29/2021,18:00:00,51.42,263,0.60
1/29/2021,18:15:00,51.26,266,0.60
1/29/2021,18:30:00,51.02,270,0.60
1/29/2021,18:45:00,50.85,287,0.57
1/29/2021,19:00:00,50.91,327,0.55
1/29/2021,19:15:00,51.05,360,0.53
1/29/2021,19:30:00,51.20,385,0.51
1/29/2021,19:45:00,51.36,405,0.51
1/29/2021,20:00:00,51.51,424,0.50
1/29/2021,20:15:00,51.70,442,0.50
1/29/2021,20:30:00,51.88,460,0.50
1/29/2021,20:45:00,51.97,474,0.49
1/29/2021,21:00:00,52.02,487,0.49
1/29/2021,21:15:00,52.04,494,0.48
1/29/2021,21:30:00,52.02,501,0.48
1/29/2021,21:45:00,52.05,513,0.48
1/29/2021,22:00:00,52.05,523,0.47
1/29/2021,22:15:00,52.04,532,0.47
1/29/2021,22:30:00,52.01,541,0.47
1/29/2021,22:45:00,51.98,547,0.47
1/29/2021,23:00:00,51.93,553,0.46
1/29/2021,23:15:00,,,0.47
1/29/2021,23:30:00,,,0.46
1/29/2021,23:45:00,,,0.46
