date(mm/dd/yyyy),time(h:m:s),temp(F),ec(uS/cm),stage(ft)
1/26/2021,00:00:00,46.95,1407,0.40
1/26/2021,00:15:00,46.89,1408,0.40
1/26/2021,00:30:00,46.82,1408,0.40
1/26/2021,00:45:00,46.72,1408,0.40
1/26/2021,01:00:00,46.63,1409,0.40
1/26/2021,01:15:00,46.54,1409,0.40
1/26/2021,01:30:00,46.38,1410,0.40
1/26/2021,01:45:00,46.32,1411,0.40
1/26/2021,02:00:00,46.27,1411,0.40
1/26/2021,02:15:00,46.18,1410,0.40
1/26/2021,02:30:00,46.14,1411,0.40
1/26/2021,02:45:00,46.11,1411,0.40
1/26/2021,03:00:00,46.03,1410,0.40
1/26/2021,03:15:00,45.82,1411,0.40
1/26/2021,03:30:00,45.70,1412,0.40
1/26/2021,03:45:00,45.61,1412,0.40
1/26/2021,04:00:00,45.52,1412,0.40
1/26/2021,04:15:00,45.40,1413,0.40
1/26/2021,04:30:00,45.32,1413,0.40
1/26/2021,04:45:00,45.24,1412,0.39
1/26/2021,05:00:00,45.10,1413,0.39
1/26/2021,05:15:00,44.89,1414,0.39
1/26/2021,05:30:00,44.75,1415,0.39
1/26/2021,05:45:00,44.66,1415,0.39
1/26/2021,06:00:00,44.59,1415,0.39
1/26/2021,06:15:00,44.47,1415,0.39
1/26/2021,06:30:00,44.30,1416,0.39
1/26/2021,06:45:00,44.20,1416,0.39
1/26/2021,07:00:00,44.06,1416,0.39
1/26/2021,07:15:00,43.88,1416,0.39
1/26/2021,07:30:00,43.74,1417,0.39
1/26/2021,07:45:00,43.55,1417,0.39
1/26/2021,08:00:00,43.47,1417,0.39
1/26/2021,08:15:00,43.39,1417,0.39
1/26/2021,08:30:00,43.27,1418,0.39
1/26/2021,08:45:00,43.16,1418,0.39
1/26/2021,09:00:00,43.17,1417,0.39
1/26/2021,09:15:00,43.20,1417,0.39
1/26/2021,09:30:00,43.22,1417,0.39
1/26/2021,09:45:00,43.30,1416,0.39
1/26/2021,10:00:00,43.26,1416,0.39
1/26/2021,10:15:00,43.14,1415,0.39
1/26/2021,10:30:00,43.12,1414,0.39
1/26/2021,10:45:00,43.16,1414,0.39
1/26/2021,11:00:00,43.24,1413,0.39
1/26/2021,11:15:00,43.28,1413,0.39
1/26/2021,11:30:00,43.35,1413,0.39
1/26/2021,11:45:00,43.62,1412,0.39
1/26/2021,12:00:00,43.89,1411,0.39
1/26/2021,12:15:00,44.29,1410,0.39
1/26/2021,12:30:00,44.84,1409,0.39
1/26/2021,12:45:00,45.28,1408,0.39
1/26/2021,13:00:00,45.63,1408,0.39
1/26/2021,13:15:00,45.92,1407,0.39
1/26/2021,13:30:00,46.33,1408,0.39
1/26/2021,13:45:00,46.52,1408,0.39
1/26/2021,14:00:00,46.73,1407,0.39
1/26/2021,14:15:00,47.20,1406,0.39
1/26/2021,14:30:00,47.48,1406,0.39
1/26/2021,14:45:00,47.63,1406,0.39
1/26/2021,15:00:00,47.65,1406,0.39
1/26/2021,15:15:00,47.73,1405,0.39
1/26/2021,15:30:00,47.76,1403,0.39
1/26/2021,15:45:00,47.79,1403,0.39
1/26/2021,16:00:00,47.78,1403,0.39
1/26/2021,16:15:00,47.75,1404,0.39
1/26/2021,16:30:00,47.77,1407,0.39
1/26/2021,16:45:00,47.73,1407,0.39
1/26/2021,17:00:00,47.60,1407,0.39
1/26/2021,17:15:00,47.53,1407,0.39
1/26/2021,17:30:00,47.42,1408,0.39
1/26/2021,17:45:00,47.26,1408,0.39
1/26/2021,18:00:00,47.16,1409,0.39
1/26/2021,18:15:00,47.03,1409,0.39
1/26/2021,18:30:00,46.94,1409,0.39
1/26/2021,18:45:00,46.83,1409,0.39
1/26/2021,19:00:00,46.68,1410,0.39
1/26/2021,19:15:00,46.55,1410,0.39
1/26/2021,19:30:00,46.45,1411,0.39
1/26/2021,19:45:00,46.39,1411,0.39
1/26/2021,20:00:00,46.28,1411,0.39
1/26/2021,20:15:00,46.21,1412,0.39
1/26/2021,20:30:00,46.12,1412,0.39
1/26/2021,20:45:00,46.06,1412,0.38
1/26/2021,21:00:00,45.95,1412,0.38
1/26/2021,21:15:00,45.87,1412,0.38
1/26/2021,21:30:00,45.77,1413,0.38
1/26/2021,21:45:00,45.66,1413,0.39
1/26/2021,22:00:00,45.59,1413,0.38
1/26/2021,22:15:00,45.52,1413,0.39
1/26/2021,22:30:00,45.44,1413,0.38
1/26/2021,22:45:00,45.34,1413,0.38
1/26/2021,23:00:00,45.20,1413,0.38
1/26/2021,23:15:00,45.12,1413,0.38
1/26/2021,23:30:00,45.08,1413,0.38
1/26/2021,23:45:00,44.98,1412,0.38
