date(mm/dd/yyyy),time(h:m:s),temp(F),ec(uS/cm),stage(ft)
1/30/2021,00:00:00,,,0.46
1/30/2021,00:15:00,51.57,578,0.46
1/30/2021,00:30:00,51.51,584,0.46
1/30/2021,00:45:00,51.41,588,0.46
1/30/2021,01:00:00,51.33,592,0.45
1/30/2021,01:15:00,51.23,596,0.45
1/30/2021,01:30:00,51.14,599,0.46
1/30/2021,01:45:00,51.06,602,0.45
1/30/2021,02:00:00,50.97,605,0.45
1/30/2021,02:15:00,50.88,608,0.45
1/30/2021,02:30:00,50.80,611,0.45
1/30/2021,02:45:00,50.74,613,0.44
1/30/2021,03:00:00,50.67,614,0.45
1/30/2021,03:15:00,50.61,615,0.44
1/30/2021,03:30:00,50.53,615,0.44
1/30/2021,03:45:00,50.47,615,0.44
1/30/2021,04:00:00,50.40,616,0.43
1/30/2021,04:15:00,50.35,617,0.44
1/30/2021,04:30:00,50.29,619,0.44
1/30/2021,04:45:00,50.24,619,0.44
1/30/2021,05:00:00,50.18,620,0.43
1/30/2021,05:15:00,50.14,620,0.43
1/30/2021,05:30:00,50.08,619,0.43
1/30/2021,05:45:00,50.02,619,0.42
1/30/2021,06:00:00,49.96,618,0.42
1/30/2021,06:15:00,49.92,620,0.42
1/30/2021,06:30:00,49.88,621,0.42
1/30/2021,06:45:00,49.83,620,0.41
1/30/2021,07:00:00,49.78,620,0.41
1/30/2021,07:15:00,49.73,621,0.41
1/30/2021,07:30:00,49.69,620,0.41
1/30/2021,07:45:00,49.58,621,0.41
1/30/2021,08:00:00,49.52,620,0.41
1/30/2021,08:15:00,49.39,620,0.41
1/30/2021,08:30:00,49.31,623,0.40
1/30/2021,08:45:00,49.32,622,0.40
1/30/2021,09:00:00,49.38,621,0.40
1/30/2021,09:15:00,49.48,621,0.40
1/30/2021,09:30:00,49.58,619,0.40
1/30/2021,09:45:00,49.66,619,0.40
1/30/2021,10:00:00,49.75,619,0.40
1/30/2021,10:15:00,49.85,619,0.40
1/30/2021,10:30:00,49.95,619,0.40
1/30/2021,10:45:00,50.06,618,0.39
1/30/2021,11:00:00,50.19,619,0.39
1/30/2021,11:15:00,50.34,619,0.40
1/30/2021,11:30:00,50.50,617,0.39
1/30/2021,11:45:00,50.63,617,0.39
1/30/2021,12:00:00,50.77,616,0.39
1/30/2021,12:15:00,50.83,615,0.40
1/30/2021,12:30:00,50.93,617,0.39
1/30/2021,12:45:00,51.09,616,0.39
1/30/2021,13:00:00,51.27,616,0.39
1/30/2021,13:15:00,51.41,620,0.39
1/30/2021,13:30:00,51.48,619,0.39
1/30/2021,13:45:00,51.59,620,0.38
1/30/2021,14:00:00,51.67,621,0.39
1/30/2021,14:15:00,51.86,621,0.39
1/30/2021,14:30:00,52.00,622,0.39
1/30/2021,14:45:00,52.12,623,0.39
1/30/2021,15:00:00,52.15,622,0.39
1/30/2021,15:15:00,52.27,621,0.39
1/30/2021,15:30:00,52.30,620,0.39
1/30/2021,15:45:00,52.25,619,0.39
1/30/2021,16:00:00,52.18,620,0.39
1/30/2021,16:15:00,52.13,621,0.39
1/30/2021,16:30:00,52.09,622,0.39
1/30/2021,16:45:00,52.04,621,0.39
1/30/2021,17:00:00,51.98,622,0.38
1/30/2021,17:15:00,51.87,623,0.38
1/30/2021,17:30:00,51.76,622,0.39
1/30/2021,17:45:00,51.65,622,0.38
1/30/2021,18:00:00,51.50,622,0.38
1/30/2021,18:15:00,51.38,623,0.39
1/30/2021,18:30:00,51.24,625,0.38
1/30/2021,18:45:00,51.11,623,0.38
1/30/2021,19:00:00,50.99,623,0.38
1/30/2021,19:15:00,50.88,623,0.38
1/30/2021,19:30:00,50.79,624,0.38
1/30/2021,19:45:00,50.68,624,0.38
1/30/2021,20:00:00,50.58,627,0.38
1/30/2021,20:15:00,50.48,631,0.38
1/30/2021,20:30:00,50.40,629,0.38
1/30/2021,20:45:00,50.35,627,0.38
1/30/2021,21:00:00,50.31,627,0.38
1/30/2021,21:15:00,50.27,626,0.38
1/30/2021,21:30:00,50.23,625,0.38
1/30/2021,21:45:00,50.19,625,0.38
1/30/2021,22:00:00,50.14,624,0.38
1/30/2021,22:15:00,50.08,625,0.38
1/30/2021,22:30:00,50.01,626,0.38
1/30/2021,22:45:00,49.98,624,0.37
1/30/2021,23:00:00,49.92,624,0.38
1/30/2021,23:15:00,49.89,627,0.37
1/30/2021,23:30:00,49.84,626,0.37
1/30/2021,23:45:00,49.82,626,0.38
