date(mm/dd/yyyy),time(h:m:s),temp(F),ec(uS/cm),stage(ft)
1/31/2021,00:00:00,49.78,628,0.38
1/31/2021,00:15:00,49.73,629,0.38
1/31/2021,00:30:00,49.66,627,0.38
1/31/2021,00:45:00,49.62,627,0.37
1/31/2021,01:00:00,49.58,628,0.38
1/31/2021,01:15:00,49.56,626,0.38
1/31/2021,01:30:00,49.53,625,0.38
1/31/2021,01:45:00,49.50,624,0.37
1/31/2021,02:00:00,49.48,624,0.37
1/31/2021,02:15:00,49.45,626,0.38
1/31/2021,02:30:00,49.42,627,0.38
1/31/2021,02:45:00,49.40,625,0.38
1/31/2021,03:00:00,49.37,626,0.37
1/31/2021,03:15:00,49.34,627,0.37
1/31/2021,03:30:00,49.30,628,0.38
1/31/2021,03:45:00,49.20,624,0.37
1/31/2021,04:00:00,49.14,624,0.37
1/31/2021,04:15:00,49.11,625,0.38
1/31/2021,04:30:00,49.10,628,0.37
1/31/2021,04:45:00,49.09,628,0.38
1/31/2021,05:00:00,49.09,630,0.38
1/31/2021,05:15:00,49.05,626,0.38
1/31/2021,05:30:00,49.00,626,0.38
1/31/2021,05:45:00,48.98,629,0.37
1/31/2021,06:00:00,48.94,627,0.38
1/31/2021,06:15:00,48.90,627,0.37
1/31/2021,06:30:00,48.85,628,0.37
1/31/2021,06:45:00,48.82,629,0.37
1/31/2021,07:00:00,48.81,630,0.37
1/31/2021,07:15:00,48.82,630,0.37
1/31/2021,07:30:00,48.81,627,0.37
1/31/2021,07:45:00,48.77,628,0.37
1/31/2021,08:00:00,48.72,630,0.37
1/31/2021,08:15:00,48.63,629,0.37
1/31/2021,08:30:00,48.55,631,0.37
1/31/2021,08:45:00,48.53,632,0.37
1/31/2021,09:00:00,48.53,632,0.37
1/31/2021,09:15:00,48.52,630,0.37
1/31/2021,09:30:00,48.46,628,0.37
1/31/2021,09:45:00,48.43,627,0.37
1/31/2021,10:00:00,48.44,627,0.37
1/31/2021,10:15:00,48.53,628,0.37
1/31/2021,10:30:00,48.69,628,0.38
1/31/2021,10:45:00,48.87,628,0.38
1/31/2021,11:00:00,49.00,628,0.37
1/31/2021,11:15:00,49.14,627,0.37
1/31/2021,11:30:00,49.33,627,0.37
1/31/2021,11:45:00,49.61,629,0.37
1/31/2021,12:00:00,49.98,633,0.37
1/31/2021,12:15:00,,,0.37
1/31/2021,12:30:00,,,0.37
1/31/2021,12:45:00,,,0.37
1/31/2021,13:00:00,,,0.37
1/31/2021,13:15:00,52.16,627,0.37
1/31/2021,13:30:00,52.55,625,0.37
1/31/2021,13:45:00,53.27,624,0.37
1/31/2021,14:00:00,53.76,625,0.37
1/31/2021,14:15:00,54.16,627,0.37
1/31/2021,14:30:00,54.53,627,0.37
1/31/2021,14:45:00,54.71,628,0.37
1/31/2021,15:00:00,54.86,631,0.37
1/31/2021,15:15:00,55.07,629,0.37
1/31/2021,15:30:00,55.22,625,0.37
1/31/2021,15:45:00,55.31,624,0.38
1/31/2021,16:00:00,55.35,623,0.37
1/31/2021,16:15:00,55.33,625,0.37
1/31/2021,16:30:00,55.22,627,0.37
1/31/2021,16:45:00,55.11,627,0.37
1/31/2021,17:00:00,54.94,627,0.37
1/31/2021,17:15:00,54.75,627,0.37
1/31/2021,17:30:00,54.60,627,0.37
1/31/2021,17:45:00,54.43,626,0.37
1/31/2021,18:00:00,54.24,626,0.37
1/31/2021,18:15:00,54.06,628,0.37
1/31/2021,18:30:00,53.90,629,0.37
1/31/2021,18:45:00,53.72,629,0.37
1/31/2021,19:00:00,53.55,630,0.37
1/31/2021,19:15:00,53.41,630,0.36
1/31/2021,19:30:00,53.31,628,0.37
1/31/2021,19:45:00,53.24,626,0.36
1/31/2021,20:00:00,53.13,626,0.36
1/31/2021,20:15:00,53.01,627,0.37
1/31/2021,20:30:00,52.90,631,0.36
1/31/2021,20:45:00,52.81,629,0.37
1/31/2021,21:00:00,52.73,630,0.36
1/31/2021,21:15:00,52.68,628,0.36
1/31/2021,21:30:00,52.60,629,0.36
1/31/2021,21:45:00,52.51,629,0.36
1/31/2021,22:00:00,52.44,627,0.37
1/31/2021,22:15:00,52.35,628,0.37
1/31/2021,22:30:00,52.29,625,0.37
1/31/2021,22:45:00,52.24,624,0.37
1/31/2021,23:00:00,52.20,623,0.37
1/31/2021,23:15:00,52.17,624,0.37
1/31/2021,23:30:00,52.15,623,0.36
1/31/2021,23:45:00,52.12,622,0.36
